Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,228.00020887873922,0.06573527998901081,0.11,0.011000000000000001,0.005121197136832625,13.7829908203125,3.5202133369445803
2,234.42883935513137,,,,,13.968070623779298,3.513886647796631
3,242.85100448068195,,,,,14.35976184539795,3.523405859375
4,248.08766878346557,,,,,14.908065705871582,3.540966688156128
5,256.18368029690765,0.04759706688923452,0.07,0.008,0.00414447614931606,15.50926480102539,3.5578789264678954
6,260.72376313686743,,,,,16.2442454788208,3.5853822803497315
7,271.36841570603195,,,,,17.139047613525392,3.619733070373535
8,277.6128170244431,,,,,17.961268449401857,3.6585649604797363
9,283.44371966813014,,,,,19.153935430908202,3.7339311351776123
10,291.8478941332176,0.05901090278606798,0.07,0.006999999999999999,0.0021080536440089186,20.485859423828124,3.8241310848236085
FINAL,,0.05901090278606798,0.07,0.006999999999999999,0.0021080536440089186,20.485859423828124,3.8241310848236085
