Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,3384.70252605272,0.04847351432133537,0.07,0.007000000000000001,0.0016603465518112087,14.924642190551758,3.540842860031128
2,3507.607729213016,,,,,18.18878537902832,3.677388525772095
3,3610.2767853764985,,,,,23.594636837768554,4.026535112762451
4,3746.363727664809,,,,,31.289648999023438,4.534889735412598
5,3856.7523849416866,0.03870433732912934,0.03,0.0030000000000000005,0.002470653377630122,41.48843837890625,5.180301279449463
6,3951.9481274582445,,,,,53.106045880126956,5.82088099822998
7,4058.3124878553817,,,,,67.12436173095703,6.513197617340088
8,4151.770754174233,,,,,83.58081507568359,7.2610292114257815
9,4320.006720739383,,,,,101.15629572753906,8.025469793701172
10,4409.5620183469255,0.03996836927225674,0.05,0.005,0.003423709984180309,122.77108743896484,8.838040160369873
FINAL,,0.03996836927225674,0.05,0.005,0.003423709984180309,122.77108743896484,8.838040160369873
