Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,13.72330759866843,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688510116577149,3.5223534229278566
2,13.719931132283033,,,,,13.68849630279541,3.522351094818115
3,13.726395302521766,,,,,13.688480722045899,3.5223484970092773
4,13.716910944022791,,,,,13.688465667724609,3.5223459297180177
5,13.724981207493943,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688449787902831,3.522343238067627
6,13.716727754199491,,,,,13.688433050537109,3.522340389251709
7,13.717107462780824,,,,,13.688415927124023,3.5223376194000244
8,13.721387370022974,,,,,13.68839663848877,3.522334504699707
9,13.718756730316883,,,,,13.688377203369141,3.5223312973022463
10,13.718138670994527,0.057916521733220525,0.09,0.009,0.0037602713721248985,13.68835595703125,3.5223278732299805
FINAL,,0.057916521733220525,0.09,0.009,0.0037602713721248985,13.68835595703125,3.5223278732299805
