Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,3386.0751333259045,0.03971305784950692,0.06,0.006999999999999999,0.0027202326042891443,14.867079779052734,3.5347402950286866
2,3488.49369102608,,,,,17.96334690246582,3.6511829357147216
3,3620.4820652038243,,,,,23.45289249267578,4.01370072479248
4,3707.3488921543467,,,,,31.128795666503905,4.532878741455078
5,3833.9187078650975,0.04759520380012195,0.08,0.009000000000000001,0.005139105992047169,40.42511262817383,5.121992610931397
6,3908.0879557490157,,,,,51.90749056396484,5.775124337005615
7,4082.852249748841,,,,,66.30026739501953,6.4860578056335445
8,4174.175201685227,,,,,80.15156484375,7.126118628692627
9,4266.877559568634,,,,,98.07662218017578,7.861813136291504
10,4389.6386369329675,0.05896409118693234,0.07,0.007000000000000001,0.0021049281556513627,118.63443210449219,8.673735711669922
FINAL,,0.05896409118693234,0.07,0.007000000000000001,0.0021049281556513627,118.63443210449219,8.673735711669922
