Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,13.739092155123583,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688507695007324,3.522353038024902
2,13.732709845652328,,,,,13.688491870117188,3.5223504791259765
3,13.730281041256085,,,,,13.688476957702637,3.522347919845581
4,13.733265482019936,,,,,13.688458750915528,3.5223448657989502
5,13.736973903328403,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688440277099609,3.5223418727874756
6,13.737321372608362,,,,,13.688421134948731,3.5223387226104736
7,13.730427924763708,,,,,13.688401861572265,3.5223355705261232
8,13.730882347794372,,,,,13.68837836151123,3.522331908798218
9,13.728986479967666,,,,,13.688355522155762,3.5223282726287843
10,13.73102463094966,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688331869506836,3.522324473571777
FINAL,,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688331869506836,3.522324473571777
