Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,3390.2132376470436,0.02461747258662931,0.03,0.0030000000000000005,0.0006651398238422929,14.955963507080078,3.549151693725586,0.01885,100,80000
2,3483.49152083583,0.07406707334468055,0.12,0.012000000000000002,0.007121651273570284,18.306000155639648,3.706090879058838,0.02525,100,80000
3,3625.56958982789,0.043360090672608397,0.07,0.01,0.003756251954825356,23.832539672851563,4.0587898578643795,0.02665,100,80000
4,3727.8454823845955,0.0672854682546269,0.1,0.01,0.007195518659099177,30.997477307128907,4.537682582092285,0.02785,100,80000
5,3822.8119638102326,0.06489115533460081,0.09,0.009000000000000001,0.004111755856436707,40.4394309753418,5.109548701477051,0.0293,100,80000
6,3940.404215387235,0.051139253911656316,0.07,0.007000000000000001,0.0027132904365608766,51.928656665039064,5.760107066345215,0.0306,100,80000
7,4066.1790071265305,0.05792174683709091,0.06,0.006000000000000001,0.0015722438521180659,65.69964584960937,6.464053592681885,0.02995,100,80000
8,4174.245729409954,0.04150191514911389,0.07,0.006999999999999999,0.0026727719378782187,80.62504956054687,7.161873275756836,0.03115,100,80000
9,4278.548543975162,0.03553796560095799,0.05,0.005,0.0027471208037245774,99.21706967773437,7.953733824157715,0.0306,100,80000
10,4416.910980369737,0.03598362003151599,0.07,0.007000000000000001,0.003489325593992495,119.26243332519532,8.695461097717285,0.0307,100,80000
FINAL,,0.03598362003151599,0.07,0.007000000000000001,0.003489325593992495,119.26243332519532,8.695461097717285,0.0307,,
