Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,32.33615402893555,0.07002398889638553,0.07,0.008,0.0030234183876656994,13.711375256347656,3.5225875930786135,0.0001,100,80000
2,32.98968102456009,0.06930552346938043,0.08,0.008,0.0024530696643313256,13.72081258392334,3.5194309104919435,0.00085,100,80000
3,33.629473599227815,0.07067547365161386,0.09,0.011000000000000001,0.0018844021977708159,13.751755200195312,3.5186172813415526,0.0028,100,80000
4,34.08559099328109,0.062308800707437335,0.04,0.005,0.0011384943841084192,13.794457650756836,3.517809130859375,0.0056,100,80000
5,34.617111738593366,0.054869787982028656,0.05,0.006,0.002320433436532508,13.87041036529541,3.5198529930114746,0.0089,100,80000
6,35.392317842702894,0.05494685993542724,0.08,0.009000000000000001,0.003347827114957204,13.930375230407714,3.51813479385376,0.011,100,80000
7,35.79878793539917,0.039619346625044315,0.07,0.008,0.0024644368559337236,14.009517398071289,3.518089736175537,0.01345,100,80000
8,36.51135530932062,0.03663054574231909,0.05,0.005,0.0019913531600838103,14.085385102844239,3.5171806510925294,0.0145,100,80000
9,37.31075887798525,0.04199570584472326,0.08,0.009000000000000001,0.004999666626677123,14.203094244384765,3.517671134185791,0.01675,101,80010
10,37.936791418170586,0.04963849620629263,0.1,0.013000000000000001,0.0042237151200034614,14.31182953338623,3.516996347808838,0.0174,110,80100
FINAL,,0.04963849620629263,0.1,0.013000000000000001,0.0042237151200034614,14.31182953338623,3.516996347808838,0.0174,,
