Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,13.727419780445928,0.06077478970206829,0.09,0.009000000000000001,0.003934100490704264,13.690398837280274,3.5221828289031984,0.0,100,80000
2,13.71586143613564,0.06077478970206829,0.09,0.009000000000000001,0.003934100490704264,13.69039398803711,3.5221822875976563,0.0,100,80000
3,13.71641883244016,0.06077478970206829,0.09,0.009000000000000001,0.003934100490704264,13.690388208007812,3.52218154296875,0.0,100,80000
4,13.719978579844136,0.06366543796524718,0.09,0.009000000000000001,0.003934100490704264,13.690385128784179,3.5221811748504637,0.0,100,80000
5,13.726762613758515,0.06366543796524718,0.09,0.009000000000000001,0.003934100490704264,13.690381686401366,3.522180758666992,0.0,100,80000
6,13.716597489998849,0.06554436268204826,0.09,0.009000000000000001,0.003934100490704264,13.690377922058106,3.522180228424072,0.0,100,80000
7,13.717061667026446,0.06554436268204826,0.09,0.009000000000000001,0.003934100490704264,13.690372448730468,3.5221794731140137,0.0,100,80000
8,13.71760551862076,0.06554436268204826,0.09,0.009000000000000001,0.003934100490704264,13.690366760253907,3.5221786727905275,0.0,100,80000
9,13.713729818150862,0.0656640143755092,0.09,0.009000000000000001,0.003934100490704264,13.690359219360351,3.522177693939209,0.0,100,80000
10,13.706873656327494,0.0656640143755092,0.09,0.009000000000000001,0.003934100490704264,13.690352453613281,3.5221768062591554,0.0,100,80000
FINAL,,0.0656640143755092,0.09,0.009000000000000001,0.003934100490704264,13.690352453613281,3.5221768062591554,0.0,,
