Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,3352.315957569665,0.03943501910887955,0.04,0.004,0.0041245766811804545,14.838790045166016,3.532118490600586,0.01995,100,80000
2,3534.230349638857,0.0484588039188898,0.07,0.007000000000000001,0.004200958019225086,18.191351075744628,3.681028049468994,0.0254,100,80000
3,3583.6606725210386,0.0771154212109546,0.1,0.011000000000000001,0.005449863587892323,23.578447219848634,4.0401966133117675,0.02855,100,80000
4,3717.7147569940203,0.07709133954512887,0.07,0.007000000000000001,0.00405392414250466,31.104013204956054,4.546085469818116,0.02905,100,80000
5,3847.820842752169,0.0925632846577456,0.1,0.010000000000000002,0.00666889347549725,40.684029943847655,5.143651803588867,0.02965,100,80000
6,3914.5842396650223,0.07130557125827924,0.1,0.010000000000000002,0.005966859312025114,52.57499589538574,5.801620474243164,0.0309,100,80000
7,4059.2942378436237,0.05830285885142869,0.07,0.007000000000000001,0.003648553417383688,66.04118087768555,6.494246479034424,0.031,100,80000
8,4144.923249964798,0.06790725527086713,0.09,0.009000000000000001,0.004087011967573661,82.25265728759766,7.226684951782227,0.0303,100,80000
9,4319.9977954340775,0.060032792763056314,0.1,0.01,0.006088946313594028,100.74192664794921,7.986591147613526,0.0306,100,80000
10,4422.093061433807,0.06706754444131935,0.07,0.007000000000000001,0.0051691684738411495,120.53816232910157,8.743016996765137,0.03135,100,80000
FINAL,,0.06706754444131935,0.07,0.007000000000000001,0.0051691684738411495,120.53816232910157,8.743016996765137,0.03135,,
