Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,13.719921054154156,0.04247585376517792,0.05,0.005,0.0027987854755442882,13.688070318603515,3.5219582321166993,0.0,100,80000
2,13.734104676386231,0.04247585376517792,0.05,0.005,0.0027987854755442882,13.688074571228027,3.52195951461792,0.0,100,80000
3,13.71188365897973,0.04247585376517792,0.05,0.005,0.0027987854755442882,13.688077807617187,3.5219606369018557,0.0,100,80000
4,13.718912946141451,0.04247585376517792,0.05,0.005,0.0027987854755442882,13.688080642700195,3.521961642837524,0.0,100,80000
5,13.715380052171145,0.04247585376517792,0.05,0.005,0.0027987854755442882,13.68808295135498,3.521962586212158,0.0,100,80000
6,13.71787444911236,0.04270459230292481,0.05,0.005,0.0027987854755442882,13.688087739562988,3.5219638679504395,0.0,100,80000
7,13.725012771300563,0.04270459230292481,0.05,0.005,0.0027987854755442882,13.68808966064453,3.5219648220062254,0.0,100,80000
8,13.715768779855264,0.04270459230292481,0.05,0.005,0.0027987854755442882,13.688093150329589,3.521965827178955,0.0,100,80000
9,13.720133272898922,0.04270459230292481,0.05,0.005,0.0027987854755442882,13.68809577331543,3.521966913986206,0.0,100,80000
10,13.712878551250338,0.045595240566103694,0.06,0.006000000000000001,0.0029600757981249333,13.688097164916993,3.5219677547454835,0.0,100,80000
FINAL,,0.045595240566103694,0.06,0.006000000000000001,0.0029600757981249333,13.688097164916993,3.5219677547454835,0.0,,
