Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,13.72604914243546,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.685133767700195,3.521554398727417
2,13.721697556470144,,,,,13.685116149902344,3.5215523292541504
3,13.716468174163426,,,,,13.685094821166992,3.521549824142456
4,13.72688887396247,,,,,13.68507374572754,3.521547329711914
5,13.7228971265283,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.685051594543458,3.5215446388244627
6,13.731610071622235,,,,,13.685030517578125,3.521542232513428
7,13.714259418429437,,,,,13.685006246948243,3.521539258956909
8,13.722299991741497,,,,,13.68498218383789,3.5215363761901854
9,13.716793745279674,,,,,13.684957339477538,3.521533363723755
10,13.716583412823606,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.684931239318848,3.5215301780700683
FINAL,,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.684931239318848,3.5215301780700683
