Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,38898.09422832709,0.06755178570779036,0.12,0.012000000000000002,0.008399888999425573,26.178582528686523,4.19490299987793,0.0256,100,80000
2,40216.02490657881,0.08889791740373702,0.12,0.013000000000000001,0.0056857605377872685,63.2749974609375,6.360936474609375,0.0288,100,80000
3,41405.879164393205,0.07025998171146083,0.09,0.01,0.005536697410618956,122.85361728515625,8.821098959350586,0.029,100,80000
4,42693.183586502426,0.07701295913107017,0.11,0.011000000000000001,0.0045554754374483464,207.11016044921874,11.463407511901856,0.0298,100,80000
5,43749.49966622252,0.059220928796820234,0.08,0.008,0.004843804972783503,315.88812470703124,14.150233493041993,0.031,100,80000
6,45448.40753495357,0.059891419742127104,0.05,0.005,0.002409201909201909,445.24064765625,16.80377308959961,0.0303,100,80000
7,46516.75056311926,0.0683075306681252,0.06,0.007000000000000001,0.0030385854455621895,601.7876948242188,19.530483657836914,0.0306,100,80000
8,47681.07665293271,0.08331145959643109,0.1,0.011000000000000001,0.0069504865057685595,785.0843901367188,22.268252224731444,0.0311,100,80000
9,48851.723256034355,0.056946371563312864,0.08,0.008,0.005316692631423469,992.3560983398437,25.082132977294922,0.03035,100,80000
10,50319.46653916025,0.058259441616395534,0.09,0.01,0.007022863054462993,1224.1818173828126,27.843912255859376,0.03075,100,80000
FINAL,,0.058259441616395534,0.09,0.01,0.007022863054462993,1224.1818173828126,27.843912255859376,0.03075,,
