Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,227.1832357087312,0.04080946680401827,0.08,0.008,0.002711375025722854,13.793987252807618,3.523072723007202,0.00395,100,80000
2,233.9209147707007,0.05378550388964511,0.07,0.006999999999999999,0.003255004828648239,14.095495629882812,3.5340612064361574,0.01225,100,80000
3,241.35547445540124,0.03438296248168954,0.05,0.005,0.001273295250990238,14.443026023864746,3.5358860416412354,0.01665,100,80000
4,247.5391933151106,0.018807314701009843,0.04,0.004,0.0038362227475702655,14.94327603149414,3.5483936428070066,0.01925,100,80000
5,256.17669846445347,0.029258856764909157,0.02,0.002,0.0006673114119922631,15.503707363891602,3.557220697402954,0.0217,100,80000
6,264.08327530666634,0.044829563960897066,0.09,0.009000000000000001,0.007727299961481826,16.147721658325196,3.5706026927948,0.02315,100,80000
7,268.785669588367,0.07272271599466305,0.1,0.01,0.006420091108273828,17.12815318145752,3.62156085357666,0.0248,100,80000
8,275.97977699961046,0.08752549552848152,0.09,0.009000000000000001,0.003876938001056973,18.181996325683595,3.6833625770568847,0.0251,100,80000
9,283.29628042909115,0.06798725033588683,0.08,0.009000000000000001,0.0075823669529242145,19.25815601348877,3.7430724296569826,0.02695,100,80000
10,292.7290368477599,0.052302515710921184,0.05,0.005,0.004645417306707629,20.478490295410158,3.81687103805542,0.02665,100,80000
FINAL,,0.052302515710921184,0.05,0.005,0.004645417306707629,20.478490295410158,3.81687103805542,0.02665,,
