Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,39130.80535287994,0.047185699518206954,0.06,0.006000000000000001,0.002469686204619938,26.503045211791992,4.232498430633545,0.02685,100,80000
2,40284.69485275375,0.040655088611359774,0.06,0.006000000000000001,0.004360795399351091,63.78653092041016,6.37922003326416,0.03,100,80000
3,41105.63977321768,0.06574135226770633,0.11,0.011000000000000001,0.005214114421368552,125.44692780761719,8.94043687133789,0.02985,100,80000
4,42747.88600345959,0.06757167686376649,0.1,0.01,0.003958361489612978,207.79047983398436,11.462039744567871,0.03,100,80000
5,43821.989995036776,0.061166381523583106,0.08,0.008,0.0018857007676736767,312.41023486328123,14.053832057189942,0.02935,100,80000
6,45236.89291234483,0.07528473370181701,0.09,0.012000000000000002,0.003215436126178829,452.1222087402344,16.912479568481444,0.0305,100,80000
7,46392.16880299288,0.06461798447023356,0.08,0.009000000000000001,0.002387088269061178,619.7188747070312,19.788922177124025,0.03055,100,80000
8,47827.34493985091,0.06678289905141888,0.09,0.009000000000000001,0.0031856627945096114,798.97648984375,22.489136013793946,0.03065,100,80000
9,49902.80625065406,0.05717177899679326,0.08,0.009000000000000001,0.0029404156445574227,995.5421778320313,25.10173248901367,0.0303,100,80000
10,50797.36899106454,0.052588591434490614,0.05,0.005,0.0015819140953603086,1223.9018715820312,27.845014318847657,0.0308,100,80000
FINAL,,0.052588591434490614,0.05,0.005,0.0015819140953603086,1223.9018715820312,27.845014318847657,0.0308,,
