Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.46529210696521317,0.0,0.14,0.014000000000000002,0.002751648588719527,0.4507654123483085,0.45115810584358934,0.5492468134414832,97,6706
2,0.4740820488751516,0.0,0.06,0.006000000000000001,0.0026216984965461198,0.450768121769641,0.45133976698750555,0.5492468134414832,97,6706
3,0.46908607171148226,0.0,0.08,0.008,0.003345713782784721,0.4507532999661955,0.45154480917567036,0.5492468134414832,97,6706
4,0.4692630221500443,0.0,0.14,0.014000000000000002,0.007605898547285705,0.4507461297967895,0.4517104169861052,0.5492468134414832,97,6706
5,0.47390549161135975,0.0,0.1,0.01,0.004592114440950085,0.45079621109735923,0.4519530160402229,0.5492468134414832,97,6706
6,0.4742810440288067,0.0,0.06,0.008,0.0009616860267130803,0.45077330240092717,0.4521412678140616,0.5492468134414832,97,6706
7,0.474512799298417,0.0,0.1,0.01,0.004312147666484043,0.4507472644261109,0.45228901329349946,0.5492468134414832,97,6706
8,0.474852492677806,0.0,0.04,0.006000000000000001,0.0004353702372393961,0.4507496236787887,0.45246796480888285,0.5492468134414832,97,6706
9,0.4656517578199143,0.0,0.06,0.008,0.0006803631812977607,0.4507273883836156,0.45261605727990284,0.5492468134414832,97,6706
10,0.46896268490689974,0.0,0.08,0.008,0.0009396472144948373,0.4507944965141535,0.45288162850283803,0.5492468134414832,97,6706
FINAL,,0.0,0.08,0.008,0.0009396472144948373,0.4507944965141535,0.45288162850283803,0.5492468134414832,,
