Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,32.67294328848598,0.0472462290067954,0.08,0.008,0.006030121847171119,13.713342192077636,3.5229010410308836,5e-05,100,80000
2,32.822057704261105,0.07335883411327072,0.08,0.009000000000000001,0.005140595121647112,13.74403567199707,3.523625078582764,0.00105,100,80000
3,33.527568559466225,0.0473027554243909,0.06,0.006000000000000001,0.004038875894021862,13.801725607299804,3.526380351257324,0.00335,100,80000
4,34.084013064858574,0.03906313958560184,0.06,0.006000000000000001,0.006722013836792531,13.881984585571288,3.5308639572143554,0.00535,100,80000
5,34.75306776296052,0.05829974355746195,0.07,0.007000000000000001,0.006616136788338537,13.949791043090821,3.531008373641968,0.00835,100,80000
6,35.241779362519274,0.025321248206604516,0.04,0.004,0.002535939003627212,13.99818376159668,3.528515309906006,0.0104,100,80000
7,35.92629810361443,0.055277952540043106,0.06,0.007000000000000001,0.006102298428999327,14.071960305786133,3.5290528282165528,0.0117,100,80000
8,36.74246785876117,0.05239089554347875,0.08,0.008,0.0035541011584837565,14.148118342590331,3.52657970199585,0.0141,100,80000
9,37.41575271400582,0.06675270977393578,0.08,0.008,0.004316408514819939,14.25781003112793,3.5295719314575194,0.0158,100,80000
10,37.97722977738357,0.04958814487988692,0.02,0.002,0.0007982456140350877,14.377549276733399,3.5319665939331055,0.01545,100,80000
FINAL,,0.04958814487988692,0.02,0.002,0.0007982456140350877,14.377549276733399,3.5319665939331055,0.01545,,
