Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,227.03942422180754,0.04029124456966597,0.07,0.007000000000000001,0.003265923769213243,13.779977816772462,3.5180053817749024,0.0052,100,80000
2,235.78496883236025,0.046571372731801494,0.08,0.008,0.0040635752255661056,14.005690173339843,3.5165404697418214,0.01445,100,80000
3,240.7317767490349,0.02996821119297246,0.07,0.007000000000000001,0.00326496867935354,14.374341035461425,3.523872038650513,0.0189,100,80000
4,249.30054236729026,0.03562325684610377,0.03,0.0030000000000000005,0.0011517273576097105,14.788337670898438,3.525958190155029,0.0209,100,80000
5,254.36270036388603,0.027744281039243087,0.04,0.004,0.0008067596913204542,15.445222314453124,3.545810661315918,0.02245,100,80000
6,261.7576312856274,0.048738035897690705,0.06,0.007000000000000001,0.0031985705885076952,16.22029856567383,3.575667440032959,0.0243,100,80000
7,268.63252392814667,0.0636313172212673,0.06,0.006000000000000001,0.002672255083025523,16.986421754455566,3.607215999221802,0.0258,100,80000
8,279.7989023091624,0.0695846538219112,0.08,0.009000000000000001,0.0018644751087573807,17.906550082397462,3.651739446258545,0.02525,100,80000
9,283.9446367347211,0.029233422595735973,0.02,0.002,0.0004267744833782569,19.01123699951172,3.7166090950012207,0.0259,100,80000
10,292.37222392678837,0.03828963882735828,0.05,0.005,0.0019470524510246457,20.343550393676757,3.802035897064209,0.02765,100,80000
FINAL,,0.03828963882735828,0.05,0.005,0.0019470524510246457,20.343550393676757,3.802035897064209,0.02765,,
