Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,13.736760905458635,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.68513099822998,3.5215539653778074
2,13.73491219975885,,,,,13.685111654663086,3.5215516830444336
3,13.74112209662515,,,,,13.685089517211914,3.521549138259888
4,13.740059274786885,,,,,13.685065866088868,3.521546283340454
5,13.731428745961571,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.685040350341797,3.5215431350708006
6,13.726476204674901,,,,,13.68501517791748,3.5215401008605958
7,13.731320599997662,,,,,13.684988584899902,3.521536766433716
8,13.72987025365621,,,,,13.684961358642578,3.5215334129333495
9,13.726996088726253,,,,,13.684932322692871,3.5215298175811767
10,13.727156604630522,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.68490050048828,3.5215259605407714
FINAL,,0.039105890351920955,0.04,0.004,0.0023614718614718613,13.68490050048828,3.5215259605407714
