Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,3394.52160104268,0.04559993053862571,0.08,0.009,0.003915800033029903,14.958302862548829,3.5458894256591798,0.01965,100,80000
2,3492.88935151594,0.02731807782445804,0.04,0.004,0.0029301318836202554,18.301618310546875,3.68370407371521,0.02425,100,80000
3,3603.2662072262483,0.04268462245244123,0.08,0.008,0.004522819228701582,23.530589346313477,4.019094007110596,0.0262,100,80000
4,3712.017098376533,0.046587711689644366,0.06,0.006000000000000001,0.001648150306861037,31.333563891601564,4.539443787384033,0.0277,100,80000
5,3817.3681047580367,0.058843247819722375,0.1,0.01,0.007201603722607293,41.145839599609374,5.163868895721436,0.02865,100,80000
6,3964.3560565823204,0.049287033383672345,0.04,0.004,0.005518433179723502,53.11588182373047,5.84742202911377,0.02915,100,80000
7,4038.0911934490364,0.02511363168236356,0.02,0.002,0.0005699088145896656,66.27695983886719,6.502882832336426,0.0282,100,80000
8,4162.2087062730125,0.052682762547144456,0.07,0.007000000000000001,0.004123323919763583,83.45032058105468,7.26738215637207,0.0283,100,80000
9,4256.870431394245,0.0770935027662093,0.11,0.012,0.007753223174074259,101.12328330078125,8.01354534072876,0.0285,100,80000
10,4443.586046063677,0.07014033283020332,0.09,0.009000000000000001,0.0036294666984343226,122.61228890380859,8.828321970367432,0.02995,100,80000
FINAL,,0.07014033283020332,0.09,0.009000000000000001,0.0036294666984343226,122.61228890380859,8.828321970367432,0.02995,,
