Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,228.46558778872327,0.058072786010379455,0.09,0.01,0.0040239655625212535,13.763436825561524,3.5187700302124023,0.0039,100,80000
2,236.04296069258697,0.03883407687364094,0.05,0.005,0.0036573860320509837,13.983623396301269,3.5181232414245605,0.01185,100,80000
3,244.0774463992697,0.03398046462922455,0.04,0.005,0.003313685872561351,14.41900964050293,3.532668880081177,0.0172,100,80000
4,248.04929602534006,0.032659915528842794,0.02,0.002,0.00030663780663780664,14.913855052185058,3.5448390213012697,0.01865,100,80000
5,256.0644917291717,0.06336416600267078,0.08,0.008,0.0033564980650005725,15.58287504272461,3.5640805824279784,0.02125,100,80000
6,259.93177531953506,0.04818029221854478,0.07,0.008,0.0025261681881590683,16.423258238220214,3.598821714782715,0.0218,100,80000
7,270.2069351606083,0.06559581856687405,0.1,0.01,0.00307510201853826,17.35653459777832,3.651724446105957,0.02375,100,80000
8,275.6351757073185,0.06369620297316517,0.09,0.009000000000000001,0.0031792799489850023,18.447172506713866,3.712730883407593,0.02455,100,80000
9,284.53508244933613,0.0545574860810161,0.11,0.013000000000000001,0.004041901056593756,19.66203436279297,3.787805523681641,0.0258,100,80000
10,290.0362756718352,0.07732605949546065,0.12,0.013000000000000003,0.004348993605377764,21.07704556274414,3.879169803619385,0.0275,100,80000
FINAL,,0.07732605949546065,0.12,0.013000000000000003,0.004348993605377764,21.07704556274414,3.879169803619385,0.0275,,
