Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,0.9859451509076628,0.0,0.0,0.0,0.0,0.9855484210734814,0.992234706268677,0.0,1,15,,0.0
1,0.9859451509076628,0.0,0.0,0.0,0.0,0.9855484210734814,0.9922347062686769,0.0,1,15,,0.0
0,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734816,0.9922347062686772,0.0,1,15,,0.0
1,0.985945150907663,0.0,0.0,0.0,0.0,0.9855484210734815,0.9922347062686772,0.0,1,15,,0.0
2,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734813,0.992234706268677,0.0,1,15,,0.0
3,0.985945150907663,0.0,0.0,0.0,0.0,0.9855484210734815,0.992234706268677,0.0,1,15,,0.0
4,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734815,0.9922347062686772,0.0,1,15,,0.0
5,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734814,0.992234706268677,0.0,1,15,,0.0
6,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734815,0.992234706268677,0.0,1,15,,0.0
7,0.9859451509076628,0.0,0.0,0.0,0.0,0.9855484210734813,0.992234706268677,0.0,1,15,,0.0
8,0.9859451509076628,0.0,0.0,0.0,0.0,0.9855484210734814,0.992234706268677,0.0,1,15,,0.0
9,0.9859451509076629,0.0,0.0,0.0,0.0,0.9855484210734816,0.992234706268677,0.0,1,15,,0.0
10,0.985945150907663,0.0,0.0,0.0,0.0,0.9855484210734815,0.992234706268677,0.0,1,15,,0.0
FINAL,,0.0,0.0,0.0,0.0,0.9855484210734815,0.992234706268677,0.0,,,,
