Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0.0
1,0.9998308269768555,0.0,0.0,0.0,0.0,0.9998242840096119,0.9999120900057422,0.0,1,10,,0.0
2,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
3,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
4,0.9998308269768555,0.0,0.0,0.0,0.0,0.9998242840096117,0.999912090005742,0.0,1,10,,0.0
5,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
6,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.9999120900057422,0.0,1,10,,0.0
7,0.9998308269768555,0.0,0.0,0.0,0.0,0.9998242840096117,0.999912090005742,0.0,1,10,,0.0
8,0.9998308269768552,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
9,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
0,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
1,0.9998308269768555,0.0,0.0,0.0,0.0,0.9998242840096117,0.9999120900057422,0.0,1,10,,0.0
2,0.9998308269768555,0.0,0.0,0.0,0.0,0.9998242840096117,0.9999120900057422,0.0,1,10,,0.0
3,0.9998308269768552,0.0,0.0,0.0,0.0,0.9998242840096119,0.9999120900057422,0.0,1,10,,0.0
4,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.9999120900057422,0.0,1,10,,0.0
5,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096117,0.9999120900057422,0.0,1,10,,0.0
6,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096117,0.9999120900057422,0.0,1,10,,0.0
7,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096117,0.999912090005742,0.0,1,10,,0.0
8,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
9,0.9998308269768554,0.0,0.0,0.0,0.0,0.9998242840096119,0.999912090005742,0.0,1,10,,0.0
FINAL,,,,,,,,,,,,
