Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0.0
1,0.999905153416518,0.0,0.0,0.0,0.0,0.9998990150927533,0.999949461917601,0.0,1,10,,0.0
2,0.9999051534165181,0.0,0.0,0.0,0.0,0.9998990150927531,0.999949461917601,0.0,1,10,,0.0
3,0.999905153416518,0.0,0.0,0.0,0.0,0.9998990150927533,0.999949461917601,0.0,1,10,,0.0
4,0.9999051534165178,0.0,0.0,0.0,0.0,0.9998990150927531,0.999949461917601,0.0,1,10,,0.0
5,0.9999051534165181,0.0,0.0,0.0,0.0,0.9998990150927533,0.999949461917601,0.0,1,10,,0.0
6,0.999905153416518,0.0,0.0,0.0,0.0,0.9998990150927531,0.999949461917601,0.0,1,10,,0.0
7,0.999905153416518,0.0,0.0,0.0,0.0,0.9998990150927531,0.999949461917601,0.0,1,10,,0.0
8,0.999905153416518,0.0,0.0,0.0,0.0,0.9998990150927531,0.999949461917601,0.0,1,10,,0.0
9,0.9999051534165181,0.0,0.0,0.0,0.0,0.9998990150927531,0.9999494619176008,0.0,1,10,,0.0
FINAL,,,,,,,,,,,,
