Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,1.8420422089982487,0.2,0.2,0.2,0.2,1.805851815069537,1.1799333716677063,0.2,1,10,,0.0
0,1.660984309985309,0.2,0.2,0.2,0.2,1.6242513840064032,1.1460719005864597,0.2,1,10,,0.0
1,1.660984309985309,0.2,0.2,0.2,0.2,1.6242513840064035,1.14607190058646,0.2,1,10,,0.0
2,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064032,1.14607190058646,0.2,1,10,,0.0
3,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064032,1.1460719005864597,0.2,1,10,,0.0
4,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064032,1.1460719005864597,0.2,1,10,,0.0
5,1.660984309985309,0.2,0.2,0.2,0.2,1.6242513840064035,1.1460719005864597,0.2,1,10,,0.0
6,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064035,1.14607190058646,0.2,1,10,,0.0
7,1.660984309985309,0.2,0.2,0.2,0.2,1.6242513840064032,1.1460719005864597,0.2,1,10,,0.0
8,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064035,1.1460719005864597,0.2,1,10,,0.0
9,1.6609843099853094,0.2,0.2,0.2,0.2,1.6242513840064032,1.1460719005864595,0.2,1,10,,0.0
0,467.361832818441,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939445,10.99381604746756,0.7272727272727273,1,11,,0.0
1,467.361832818441,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939445,10.993816047467556,0.7272727272727273,1,11,,0.0
2,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939442,10.993816047467556,0.7272727272727273,1,11,,0.0
3,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939445,10.99381604746756,0.7272727272727273,1,11,,0.0
4,467.361832818441,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939442,10.993816047467558,0.7272727272727273,1,11,,0.0
5,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939442,10.99381604746756,0.7272727272727273,1,11,,0.0
6,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939445,10.99381604746756,0.7272727272727273,1,11,,0.0
7,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939442,10.99381604746756,0.7272727272727273,1,11,,0.0
8,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939445,10.99381604746756,0.7272727272727273,1,11,,0.0
9,467.3618328184411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,215.34421898939442,10.99381604746756,0.7272727272727273,1,11,,0.0
FINAL,,,,,,,,,,,,
