Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.47856687232154876,0.0,0.08,0.008,0.0025704284326533346,0.45074127433197797,0.4509284935572194,0.5492468134414832,97,6706
2,0.4737208675081942,0.0,0.08,0.008,0.0025704284326533346,0.4507412753679799,0.45092848692680704,0.5492468134414832,97,6706
3,0.48078738295677226,0.0,0.08,0.008,0.0025704284326533346,0.4507412698426363,0.45092847698118843,0.5492468134414832,97,6706
4,0.4734666963321777,0.0,0.08,0.008,0.0025704284326533346,0.4507412686685007,0.45092848029639465,0.5492468134414832,97,6706
5,0.4698649117903474,0.0,0.08,0.008,0.0025704284326533346,0.4507412697735695,0.4509284692457073,0.5492468134414832,97,6706
6,0.4774746594613852,0.0,0.08,0.008,0.0025704284326533346,0.45074126535329456,0.45092846372036366,0.5492468134414832,97,6706
7,0.4750133630284135,0.0,0.08,0.008,0.0025704284326533346,0.4507412708095714,0.4509284570899513,0.5492468134414832,97,6706
8,0.48033689108941746,0.0,0.08,0.008,0.0025704284326533346,0.4507412697045027,0.4509284559848825,0.5492468134414832,97,6706
9,0.4788582466643985,0.0,0.08,0.008,0.0025704284326533346,0.45074126411009224,0.45092844824940137,0.5492468134414832,97,6706
10,0.47059900432439944,0.0,0.08,0.008,0.0025704284326533346,0.4507412674252984,0.450928441618989,0.5492468134414832,97,6706
FINAL,,0.0,0.08,0.008,0.0025704284326533346,0.4507412674252984,0.450928441618989,0.5492468134414832,,
