Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.4694214432423877,0.0,0.08,0.01,0.0032724502481749095,0.45075887047954394,0.4509323502470969,0.5492468134414832,97,6706
2,0.4844458933379111,0.0,0.12,0.013999999999999999,0.007040566190203895,0.4507534568859556,0.45093561019985867,0.5492468134414832,97,6706
3,0.4697295350451481,0.0,0.1,0.012,0.005685723249683206,0.45074889847743277,0.45094056864326276,0.5492468134414832,97,6706
4,0.4735912946335166,0.0,0.1,0.01,0.0033675701820045207,0.4507427757750519,0.4509472421533401,0.5492468134414832,97,6706
5,0.46986914653948725,0.0,0.06,0.006000000000000001,0.0017725435195115916,0.45074120754438646,0.4509587470239173,0.5492468134414832,97,6706
6,0.46639337076905824,0.0,0.06,0.006000000000000001,0.005459207459207459,0.4507431477688141,0.45096758867884845,0.5492468134414832,97,6706
7,0.47548269408427696,0.0,0.08,0.01,0.002756116157985317,0.4507349172168922,0.45097485561083533,0.5492468134414832,97,6706
8,0.47479805056216995,0.0,0.08,0.008,0.004463536463536464,0.45072823293239467,0.45098418902135257,0.5492468134414832,97,6706
9,0.47216573664807554,0.0,0.1,0.01,0.0042456384195514625,0.45072159126211014,0.4509948540396928,0.5492468134414832,97,6706
10,0.46659007387244866,0.0,0.1,0.012000000000000002,0.003148801102204486,0.4507143038172849,0.45099761229124985,0.5492468134414832,97,6706
FINAL,,0.0,0.1,0.012000000000000002,0.003148801102204486,0.4507143038172849,0.45099761229124985,0.5492468134414832,,
