Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.4587120548343136,0.0,0.08,0.008,0.0011231016970147402,0.4507457849462781,0.45089500444927194,0.5492468134414832,99,6804
2,0.4632825547538466,0.0,0.08,0.008,0.0011231016970147402,0.4507457838412094,0.45089501549995925,0.5492468134414832,99,6804
3,0.4656622521994105,0.0,0.08,0.008,0.0011231016970147402,0.45074578163107193,0.4508950199202342,0.5492468134414832,99,6804
4,0.46205769159989546,0.0,0.08,0.008,0.0011231016970147402,0.45074578280520744,0.4508950066594094,0.5492468134414832,99,6804
5,0.4602214271326701,0.0,0.08,0.008,0.0011231016970147402,0.4507457849462781,0.4508950077644781,0.5492468134414832,99,6804
6,0.4696297976904583,0.0,0.08,0.008,0.0011231016970147402,0.4507457794209344,0.4508950066594094,0.5492468134414832,99,6804
7,0.4629925472668661,0.0,0.08,0.008,0.0011231016970147402,0.45074578273614063,0.4508950077644781,0.5492468134414832,99,6804
8,0.45862756318815745,0.0,0.08,0.008,0.0011231016970147402,0.4507457838412094,0.45089500555434064,0.5492468134414832,99,6804
9,0.46378506528686325,0.0,0.08,0.008,0.0011231016970147402,0.45074578163107193,0.4508950022391345,0.5492468134414832,99,6804
10,0.46466474174135153,0.0,0.08,0.008,0.0011231016970147402,0.45074578605134685,0.45089499781885956,0.5492468134414832,99,6804
FINAL,,0.0,0.08,0.008,0.0011231016970147402,0.45074578605134685,0.45089499781885956,0.5492468134414832,,
